"region_txt","summary"
"Middle East & North Africa","08/18/2016: Assailants attacked Al Masurah checkpoint in Rafah, North Sinai, Egypt. At least four security members were injured in the assault. This was one of two attacks on Al Masurah checkpoint on this date. No group claimed responsibility; however, sources attributed the incident to the Sinai Province of the Islamic State."
"Middle East & North Africa","08/18/2016: An explosive device detonated targeting a military patrol near Hizan, Bitlis, Turkey. At least four soldiers were killed and six soldiers were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK) and the Fetullah Terrorist Organization."
"Southeast Asia","08/18/2016: Assailants opened fire on Citizens Armed Forces Geographical Unit (CAFGU) personnel in Laiya Aplaya, Batangas, Philippines. Three CAFGU members were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Western Europe","08/18/2016: Assailants threw a petrol bomb at the Dove House community center in Londonderry, Northern Ireland, United Kingdom. There were no reported casualties in the attack. No group claimed responsibility for the incident."
"South Asia","08/18/2016: Assailants threw a grenade at the residence of Sheikh Mohammad Rafi in Kach Dorah, Jammu and Kashmir, India. Rafi, a senior Jammu & Kashmir National Conference (NC) leader and former Member of the Legislative Assembly (MLA), was unharmed in the attack. No group claimed responsibility for the incident."
"South Asia","08/18/2016: An explosive device attached to the vehicle of General Samim Samim detonated in Kolola Poshta area, Kabul, Afghanistan. Samim, a Ministry of Defense official, was unharmed, though a child was injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the incident."
"Middle East & North Africa","08/18/2016: An explosive device detonated near shops in Amin neighborhood, Baghdad, Iraq. At least seven people were killed and two people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/18/2016: Assailants fired mortars at a refugee camp in Baiji district, Saladin, Iraq. At least 12 people were killed and 20 people were injured in the attack. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","08/18/2016: An explosive device detonated targeting a police patrol in Amiriyat al-Fallujah, Al Anbar, Iraq. At least one police officer was killed and two officers were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/18/2016: An assailant threw a grenade at a produce market in Ain al-Hilweh, South, Lebanon. There were no reported casualties in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/18/2016: Assailants opened fire on a police headquarters in Semdinli, Hakkari, Turkey. Two police officers were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"South Asia","08/18/2016: An explosive device detonated targeting an Afghan National Army (ANA) patrol in Pasaband district, Ghor, Afghanistan. Three soldiers were killed and five soldiers were injured in the blast. No group claimed responsibility for the incident."
"Southeast Asia","08/18/2016: An explosive device detonated at an engineering workshop in Na Muang, Chachoengsao, Thailand. There were no reported casualties in the blast; a second explosive device was discovered and defused at the scene. No group claimed responsibility for the incident."
"Sub-Saharan Africa","08/18/2016: Three assailants shot and injured Izuchukwu Aghaegbuna, a pastor, in Afor-Igwe, Anambra, Nigeria. No group claimed responsibility for the incident."
"South Asia","08/18/2016: Assailants opened fire on employees of a private news channel in Quaidabad, Punjab, Pakistan. At least two employees were wounded in the assault. No group claimed responsibility for the attack."
"Sub-Saharan Africa","08/18/2016: Assailants raided Mepinha, Zambezia, Mozambique. No casualties were reported in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR)."
"South Asia","08/18/2016: Assailants planted a railway sleeper on tracks in an attempt to derail trains between Kirandul and Bacheli, Chhattisgarh, India. There were no reported casualties as railway officials halted traffic in order to remove the sleeper. No group claimed responsibility for the incident."
"South Asia","08/18/2016: Assailants opened fire on a clinic in Garden Town neighborhood, Lahore, Punjab, Pakistan. At least one doctor was wounded in the assault. No group claimed responsibility for the attack."
"Southeast Asia","08/18/2016: Assailants shot and killed Carmelita Pine, an Intelligence Service of the Armed Forces of the Philippines (ISAFP) member, in Liwayway, Nueva Ecija, Philippines. No group claimed responsibility for the attack."
"Southeast Asia","08/18/2016: Assailants raided a civilian house and abducted two people in Riverside, Negros Occidental, Philippines. One hostage was killed and another hostage was released later the same day. The New People's Army (NPA) claimed responsibility for the attack."
"Sub-Saharan Africa","08/18/2016: Assailants kidnapped Andrew Anthony, a pastor, in Port Harcourt, Rivers, Nigeria. The hostage was killed in a security raid on August 26th, 2016. No group claimed responsibility for the incident."
"South America","08/18/2016: Assailants kidnapped a Chinese worker, Daniel Wu, in Posadas, Misiones, Argentina. Wu escaped unharmed later the same day. No group claimed responsibility for the incident; however, sources suspected that the Paraguayan People's Army (EPP) was involved."
"South Asia","08/19/2016: An explosive device detonated near a gas pipeline in Dera Bugti, Balochistan, Pakistan. There were no reported casualties in the blast. No group claimed responsibility for the attack."
"South Asia","08/19/2016: Assailants opened fire on Zar Khan Marri at his residence in Shahrag, Balochistan, Pakistan. At least five people, including Marri, a tribal leader, were killed in the assault. The Baloch Liberation Army (BLA) claimed responsibility for the attack and accused the victims of working with the government."
"South America","08/19/2016: Four explosive devices detonated targeting military personnel at Los Colonizadores Airport in Saravena, Arauca, Colombia. One soldier was injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the National Liberation Army of Colombia (ELN)."
"South Asia","08/18/2016: An explosive device detonated in Bakka Khel, Federally Administered Tribal Areas, Pakistan. At least one internally displaced person was killed and another was injured in the blast. No group claimed responsibility for the attack."
"Middle East & North Africa","08/19/2016: Assailants raided a tribal leader's house in Arab Ebjur area, Baghdad, Iraq. The tribal leader and three of his brothers were killed in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","08/19/2016: A suicide bomber detonated targeting a gathering of volunteer fighters in Yusufiyah, Babil, Iraq. In addition to the assailant, at least two volunteer fighters were killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/19/2016: An explosive device planted in a vehicle detonated in At Tubaji, Baghdad, Iraq. The owner of the vehicle, a Ministry of Foreign Affairs employee, was killed in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/19/2016: Assailants threw hand grenades at the residence of a liquor store owner in Al Hurriya neighborhood, Baghdad, Iraq. The store owner and his brother were killed and four family members were injured in the blast. No group claimed responsibility for the incident."
"South Asia","08/19/2016: Assailants opened fire on Maulvi Ghulam Hazrat and his father Khwaja Muhammad Hazrat in Phandu Payan, Khyber Pakhtunkhwa, Pakistan. At least two people, including Maulvi, a Pir Saifur Rahman cleric, and Khwaja, the Akori Madrassa leader, were killed and another person was wounded in the assault. No group claimed responsibility for the attack."
"Sub-Saharan Africa","08/19/2016: Assailants launched mortars and opened fire on an African Union Mission in Somalia (AMISOM) base near Ceelasha Biyaha, Lower Shebelle, Somalia. There were no reported casualties in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."
"Sub-Saharan Africa","08/18/2016: Two assailants detonated an explosives-laden vehicle after being intercepted by police forces in Sinai junction, Mogadishu, Banaadir, Somalia. At least one civilian was killed and four civilians were injured in the blast. No group claimed responsibility for the incident; however, sources suspected that Al-Shabaab carried out the attack."
"South Asia","08/19/2016: An explosive device detonated in Salazai subdistrict, Federally Administered Tribal Areas, Pakistan. At least one Frontier Corps (FC) soldier was killed and a civilian was injured in the blast. No group claimed responsibility for the attack."
"South Asia","08/19/2016: Security forces discovered and defused an explosive device near Chheribeda, Chhattisgarh, India. No group claimed responsibility for the incident; however, sources attributed the attempted attack to Maoists."
"Southeast Asia","08/19/2016: Assailants opened fire on military personnel escorting a government convoy in Singawan, Aurora, Philippines. One soldier was killed while two soldiers and an unknown number of assailants were injured in the attack and ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Middle East & North Africa","08/19/2016: An explosive device detonated targeting a police convoy in Arish, North Sinai, Egypt. At least six police officers were injured in the blast. No group claimed responsibility for the incident."
"South Asia","08/19/2016: Assailants opened fire on a Border Security Force (BSF) camp in Karnah, Jammu and Kashmir, India. Three BSF personnel were injured in the attack. No group claimed responsibility for the incident."
"South Asia","08/19/2016: Assailants in Afghanistan opened fire on Pakistan Armed Forces soldiers in Tirah Valley, Khyber district, Federally Administered Tribal Areas, Pakistan. At least two soldiers were injured in the assault. No group claimed responsibility for the attack."
"South Asia","08/19/2016: A grenade was discovered and defused at the Manmasi Messianic Council Centre Church in Kangpokpi, Manipur, India. The Kuki National Front (KNF) claimed responsibility for the incident."
"Middle East & North Africa","08/19/2016: Assailants fired rockets targeting Najran, Saudi Arabia. Five civilians were injured in the attack. No group claimed responsibility for the incident."
"Sub-Saharan Africa","08/19/2016: Multiple explosive devices detonated near a Nigerian Petroleum Development Company (NPDC) oil pipeline in Owhrode, Udu, Delta, Nigeria. There were no reported casualties in the blast. This was one of two related attacks in Udu on the same day. The Niger Delta Greenland Justice Mandate (NDGJM) claimed responsibility for the incidents. Sources also attributed the attacks to the Niger Delta Avengers (NDA)."
"Sub-Saharan Africa","08/19/2016: Multiple explosive devices detonated near a Nigerian Petroleum Development Company (NPDC) oil pipeline in Orhuwhorun, Udu, Delta, Nigeria. There were no reported casualties in the blast. This was one of two related attacks in Udu on the same day. The Niger Delta Greenland Justice Mandate (NDGJM) claimed responsibility for the incidents. Sources also attributed the attacks to the Niger Delta Avengers (NDA)."
"Sub-Saharan Africa","08/19/2016: Assailants raided Unguwar Kyafi, Jigawa, Nigeria. This was one of two coordinated raids on villages in the area on the same day. At least 15 people were abducted across both events; the outcome of the kidnappings is unknown. No group claimed responsibility for the incidents."
"Sub-Saharan Africa","08/19/2016: Assailants raided Zunburan, Jigawa, Nigeria. This was one of two coordinated raids on villages in the area on the same day. At least 15 people were abducted across both events; the outcome of the kidnappings is unknown. No group claimed responsibility for the incidents."
"Southeast Asia","08/19/2016: Three assailants attacked Regional Public Safety Battalion (RPSB) personnel in Sirawai, Zamboanga del Norte, Philippines. Two police officers were injured in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Sub-Saharan Africa","08/19/2016: Assailants shot and killed Luka Ubangari, a Redeemed Christian Church of God (RCCG) pastor, in Shawa, Kaduna, Nigeria. No group claimed responsibility for the incident; however, sources attributed the attack to Fulani militants."
"Middle East & North Africa","08/19/2016: An explosive device detonated targeting a military vehicle in Asagimollahasan, Van, Turkey. One civilian was killed and four soldiers were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"Sub-Saharan Africa","08/19/2016: Assailants attacked Pajut, Jonglei, South Sudan. At least 250 assailants and 33 people, including civilians and soldiers, were killed and an unknown number were injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the Sudan People's Liberation Movement in Opposition (SPLM-IO)."
"Middle East & North Africa","08/19/2016: Assailants fired a missile at Syrian Armed Forces (SAF) soldiers in western Aleppo city, Syria. At least six soldiers were killed and injured in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","08/19/2016: Assailants fired projectiles that landed and detonated in western Aleppo city, Syria. There were an unknown number of casualties in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","08/19/2016: An explosive device detonated along al-Fawqani street in Ain al-Hilweh refugee camp, South governorate, Lebanon. No casualties were reported in the blast. No group claimed responsibility for the incident."
"Western Europe","08/19/2016: An assailant stabbed and injured Chalom Levy, an Orthodox Jewish civilian, in Strasbourg, France. No group claimed responsibility for the incident; however, sources attributed the attack to an Anti-Semitist, who shouted ""Allahu Akbar"" during the attack."
"Middle East & North Africa","08/20/2016: A suicide bomber detonated at a wedding in Gaziantep, Turkey. In addition to the assailant, at least 57 people were killed and 91 people were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
"South Asia","08/20/2016: Assailants attacked Khanabad district, Kunduz, Afghanistan. No casualties were reported in the assault. This was one of two similar attacks targeting districts in Kunduz province on this date. The Taliban claimed responsibility for the incident."
"Middle East & North Africa","08/20/2016: An explosive device detonated in Sinai neighborhood, Baghdad, Iraq. At least one person was killed and seven people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/20/2016: An explosive device detonated near shops in Bakriyah area, Baghdad, Iraq. At least two people were killed and seven people were injured in the blast. No group claimed responsibility for the incident."
"South Asia","08/20/2016: An explosive device attached to an Afghan National Army (ANA) vehicle detonated in Qala-e-Zaman Khan area, Kabul, Afghanistan. A soldier was killed and two people, including one soldier and one civilian, were injured in the blast. The Taliban claimed responsibility for the incident."
"South Asia","08/20/2016: An explosive device detonated against a civilian vehicle in Alqanaq, Takhar, Afghanistan. At least five civilians were killed and three civilians were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"Middle East & North Africa","08/20/2016: Assailants raided a timber factory in Arifiyah, Baghdad, Iraq. At least three people were killed and three people were injured in the attack. No group claimed responsibility for the incident."
"Middle East & North Africa","08/20/2016: An explosive device detonated near a market in Husseiniyah, Diyala, Iraq. At least one person was killed and eight people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/20/2016: An explosives-rigged house detonated in Khalidiyah, Al Anbar, Iraq. At least three volunteer fighters were killed and three fighters were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/20/2016: Assailants raided Shanaf village in Kuwayr, Arbil, Iraq. At least 13 assailants were killed and an unknown number of assailants were injured as security forces repelled the assault. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
"South Asia","08/00/2016: Sometime between August 14 and August 20, 2016, assailants attacked Baghlani Jadid district, Baghlan, Afghanistan. At least 30 assailants and four soldiers were killed and 15 assailants were injured in the assault. The Taliban claimed responsibility for the incident."
"South Asia","08/18/2016: Assailants attacked the district headquarters in Hisarak district, Nangarhar, Afghanistan. This was one of two related attacks in the district on this date. There were an unknown number of casualties in the ensuing clashes that continued until August 20, 2016. The Taliban claimed responsibility for the incidents."
"South Asia","08/18/2016: Assailants attacked an unknown number of security posts in Hisarak district, Nangarhar, Afghanistan. This was one of two related attacks in the district on this date. There were an unknown number of casualties in the ensuing clashes that continued until August 20, 2016. The Taliban claimed responsibility for the incidents."
"Sub-Saharan Africa","08/20/2016: Assailants attacked police personnel in Goof Gaduud, Bay, Somalia. In addition to an unknown number of assailant casualties, at least three police officers were killed and two officers were injured in the assault and ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."
"South Asia","08/20/2016: Assailants shot and killed a Khassadars official in front of his residence in Ghwandai, Federally Administered Tribal Areas, Pakistan. No group claimed responsibility for the attack."
"Middle East & North Africa","08/20/2016: Assailants fired rockets targeting Najran, Saudi Arabia. One civilian was killed and six civilians were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to Huthi extremists."
"South Asia","08/20/2016: Assailants sabotaged railway tracks near Pujapara Dhurli, Chhattisgarh, India. No casualties were reported, but several wagons derailed as a result of the damage. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists."
"Sub-Saharan Africa","08/20/2016: Assailants raided Kubrrivu, Borno, Nigeria. At least six people were killed and an unknown number of people were injured in the attack. Assailants also abducted 13 people, and the outcome of the kidnapping is unknown. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram."
"Sub-Saharan Africa","08/20/2016: Assailants opened fire on a police camp in Sheikh Barrow, Mandera, Kenya. An unknown number of assailants were injured as police forces repelled the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Al-Shabaab."
"Southeast Asia","08/20/2016: Assailants extorted supplies from civilians and opened fire on a military patrol in San Pedro, Agusan del Sur, Philippines. Four assailants were killed in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to the New People's Army (NPA)."
"Sub-Saharan Africa","08/20/2016: An explosive device detonated targeting an African Union Mission in Somalia (AMISOM) convoy in Afgoye, Lower Shebelle, Somalia. There were an unknown number of casualties in the blast. Al-Shabaab claimed responsibility for the incident."
"South Asia","08/20/2016: Assailants attacked Aliabad district, Kunduz, Afghanistan. No casualties were reported in the assault. This was one of two similar attacks targeting districts in Kunduz province on this date. No group claimed responsibility; however, sources attributed the incident to the Taliban."
"Sub-Saharan Africa","08/20/2016: Assailants equipped with explosive devices and firearms attacked a police post and surrounding buildings in Ukpo, Anambra, Nigeria. At least one police officer was killed and three officers were injured in the assault. No group claimed responsibility for the incident."
"South Asia","08/20/2016: Assailants attacked an unknown number of villages in Sangcharak district, Sari Pul, Afghanistan. At least 16 assailants and nine police officers were killed and 25 assailants and seven police officers were injured in the ensuing clash. The Taliban claimed responsibility for the incident."
"North America","08/20/2016: An assailant stabbed and injured two civilians at an apartment complex in Roanoke, Virginia, United States.  The assailant was also injured in the attack. No group claimed responsibility for the incident; however, sources identified the assailant as Wasil Farooqui."
"Sub-Saharan Africa","08/20/2016: Assailants attacked civilians between Poktap and Panyagoor, Jonglei, South Sudan. Five people were killed in the assault. No group claimed responsibility for the incident; however, sources suspected that the Nuer White Army carried out the attack."
"Sub-Saharan Africa","08/20/2016: Assailants raided Ligali, Kaduna, Nigeria. At least one person was killed in the attack. No group claimed responsibility for the incident."
"Sub-Saharan Africa","08/21/2016: A suicide bomber detonated an explosives-laden vehicle at a local government headquarters in Galkayo, Mudug, Somalia. This was one of two coordinated suicide attacks in Galkayo within a short period of time. In addition to the two assailants, at least 25 people were killed and 60 people were injured across both blasts. Al-Shabaab claimed responsibility for the incidents."
"Sub-Saharan Africa","08/21/2016: A suicide bomber detonated an explosives-laden vehicle at a market in Galkayo, Mudug, Somalia. This was one of two coordinated suicide attacks in Galkayo within a short period of time. In addition to the two assailants, at least 25 people were killed and 60 people were injured across both blasts. Al-Shabaab claimed responsibility for the incidents."
"Sub-Saharan Africa","08/21/2016: A grenade detonated at a security checkpoint in Kaaraan neighborhood, Mogadishu, Banaadir, Somalia. At least two people, including one soldier and one civilian, were injured in the blast. No group claimed responsibility for the incident."
"Sub-Saharan Africa","08/21/2016: Assailants fired mortars at the Ministry of Transportation compound in Shingani neighborhood, Mogadishu, Banaadir, Somalia. At least three people were injured in the attack. Al-Shabaab claimed responsibility for the incident."
"South Asia","08/21/2016: An explosive device detonated near a Frontier Corps (FC) vehicle in Zain Koh, Balochistan, Pakistan. At least three soldiers were injured in the blast. The Baloch Republican Army (BRA) claimed responsibility for the attack."
"Middle East & North Africa","08/21/2016: An explosive device detonated near a market in Mahmudiyah, Babil, Iraq. At least two people were killed and nine people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/21/2016: Security forces identified and arrested a suicide bomber in Tasin, Kirkuk, Iraq. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack."
"Middle East & North Africa","08/21/2016: Security forces discovered and defused an explosives-laden vehicle at a checkpoint in Shoqra, Abyan, Yemen. No group claimed responsibility for the incident."
"Middle East & North Africa","08/21/2016: Assailants fired a rocket into Sderot, Southern district, Israel. There were no reported casualties in the attack. The Popular Front for the Liberation of Palestine (PFLP) claimed responsibility for the incident and stated that the attack was carried out in retaliation for the imprisonment of PFLP member Bilal Kayid. Ahfad al-Sahaba-Aknaf Bayt al-Maqdis also claimed responsibility for the incident."
"Middle East & North Africa","08/21/2016: Assailants opened fire on al-Egeizy checkpoint in Sadat, Monufia, Egypt. At least three police officers were killed and four people, including two officers and two civilians, were injured in the attack. The Revolution's Brigade claimed responsibility for the incident; however, sources also suspected the involvement of the Sinai Province of the Islamic State in the attack."
"South Asia","08/22/2016: An explosive device detonated in Qush Tepa district, Jawzjan, Afghanistan. One civilian was killed and three civilians were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"South Asia","08/21/2016: Security forces discovered and defused two explosive devices between Nawatola and Pallemadi in Rajnandgaon district, Chhattisgarh, India. No group claimed responsibility for the incident; however, sources attributed the attempted attack to Maoists."
"South Asia","08/21/2016: An explosive device detonated targeting Central Reserve Police Force (CRPF) personnel in Sukma district, Chhattisgarh, India. One police officer was injured in the blast; at least three additional explosive devices were recovered at the scene. No group claimed responsibility for the incident; however, sources attributed the attack to Maoists."
"Middle East & North Africa","08/21/2016: An explosive device detonated targeting a military vehicle in Viransehir district, Sanliurfa, Turkey. One soldier was killed and three soldiers were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Kurdistan Workers' Party (PKK)."
"Southeast Asia","08/21/2016: Two assailants shot and killed Cesar Padilla, a former village chair, in Caloocan, Metropolitan Manila, Philippines. No group claimed responsibility for the incident."
"Southeast Asia","08/21/2016: An assailant threw an explosive device at a building in Polomolok, South Cotabato, Philippines. One civilian was injured in the blast. This was one of two similar attacks in the area on this date. No group claimed responsibility for the incidents."
"Southeast Asia","08/21/2016: An explosive device detonated against a cargo truck in Magsaysay, South Cotabato, Philippines. There were no reported casualties in the blast. This was one of two similar attacks in the area on this date. No group claimed responsibility for the incidents."
"Sub-Saharan Africa","08/21/2016: A suicide bomber riding a motorcycle detonated at a market in Mora, Extreme-North, Cameroon. In addition to the assailant, at least three people were killed and 24 other people were injured in the blast. No group claimed responsibility; however, sources attributed the attack to Boko Haram."
"South Asia","08/20/2016: Assailants abducted Lova Yekar, an engineer, in Deomali, Arunachal Pradesh, India. The hostage was rescued the following morning. The National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM) claimed responsibility for the incident and stated that Yekar was kidnapped for failing to pay an extortion."
"Sub-Saharan Africa","08/21/2016: Assailants raided Shawa, Borno, Nigeria. An unknown number of people were injured and the village was set on fire during the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Boko Haram."
"South Asia","08/21/2016: An explosive device detonated outside a civilian residence in Lal Por district, Nangarhar, Afghanistan. Three civilians were injured in the blast. No group claimed responsibility for the incident."
"South Asia","08/21/2016: An explosive device detonated in Pachir Agam district, Nangarhar, Afghanistan. Two civilians were killed in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/21/2016: An explosive device detonated targeting a police patrol in Radhwaniyah, Al Anbar, Iraq. One police officer was killed in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/21/2016: An explosive device detonated targeting volunteer fighters in Dora neighborhood, Baghdad, Iraq. At least two volunteers were killed and four volunteers were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/21/2016: An explosives-laden house detonated in Sirte, Libya. At least one person was killed and an unspecified number of people were injured in the blast. No group claimed responsibility for the incident."
"South Asia","08/20/2016: Assailants attacked a security post in the center of Baraki Barak district, Logar, Afghanistan. This was one of four coordinated assaults on posts in Baraki Barak district on this date. At least 14 assailants were killed and five assailants were injured across the four events. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban."
"South Asia","08/20/2016: Assailants attacked a security post in Tapi Khan, Logar, Afghanistan. This was one of four coordinated assaults on posts in Baraki Barak district on this date. At least 14 assailants were killed and five assailants were injured across the four events. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban."
"South Asia","08/20/2016: Assailants attacked a security post in Chaltan, Logar, Afghanistan. This was one of four coordinated assaults on posts in Baraki Barak district on this date. At least 14 assailants were killed and five assailants were injured across the four events. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban."
"South Asia","08/20/2016: Assailants attacked a security post in Ahmdak, Logar, Afghanistan. This was one of four coordinated assaults on posts in Baraki Barak district on this date. At least 14 assailants were killed and five assailants were injured across the four events. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban."
"Sub-Saharan Africa","08/21/2016: Assailants raided Ningon, Kaduna, Nigeria. At least three people were killed in the assault. No group claimed responsibility for the incident; however, sources attributed the attack to Fulani militants."
"South Asia","08/21/2016: Assailants attacked security checkpoints in Pashtun Kot district, Faryab, Afghanistan. This was one of three related assaults on checkpoints in Faryab province on the same day. At least five assailants were killed and three assailants were injured across the three events. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban."
"South Asia","08/21/2016: Assailants attacked security checkpoints in Gurziwan district, Faryab, Afghanistan. This was one of three related assaults on checkpoints in Faryab province on the same day. At least five assailants were killed and three assailants were injured across the three events. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban."
"South Asia","08/21/2016: Assailants attacked security checkpoints in Almar district, Faryab, Afghanistan. This was one of three related assaults on checkpoints in Faryab province on the same day. At least five assailants were killed and three assailants were injured across the three events. No group claimed responsibility for the incidents; however, sources attributed the attacks to the Taliban."
"Middle East & North Africa","08/21/2016: An explosive device detonated targeting Libyan Special Forces personnel in Guwarsha area, Benghazi, Libya. Four soldiers were killed in the blast. The Barqa Province of the Islamic State claimed responsibility for the incident."
"South Asia","08/21/2016: Two assailants attacked a police checkpoint near Madhupur, Dhaka, Bangladesh. The two assailants were killed and one police officer was injured in the ensuing clash. No group claimed responsibility for the incident; however, sources attributed the attack to Jama'atul Mujahideen Bangladesh (JMB)."
"Sub-Saharan Africa","08/21/2016: Assailants opened fire on a convoy between Vanduzi and the Luenha River in Manica province, Mozambique. Four people were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Mozambique National Resistance Movement (MNR)."
"Southeast Asia","08/27/2016: Assailants attacked a Philippine Bureau of Jail Management and Penology jail in Marawi, Lanao del Sur, Philippines. There were no reported casualties; however, the assailants managed to free eight jailed group members and released several other inmates. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the attack and stated that the prison was targeted in order to free detainees. Sources also attributed the incident to the Maute Group."
"South Asia","08/22/2016: Assailants abducted and beheaded a student in Faizabad, Faryab, Afghanistan. An explosive device planted in the student's body was later defused by security personnel. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"South Asia","08/22/2016: Assailants launched a mortar shell at Shirin Tagab district, Faryab, Afghanistan. Four people were injured in the attack. No group claimed responsibility for the incident."
"South Asia","08/21/2016: An explosive device targeting the Al Chin Bridge detonated prematurely while being planted in Kunduz, Afghanistan. Three assailants were killed in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Taliban."
"Middle East & North Africa","08/22/2016: An explosive device detonated near a market in Abu Disheer area, Baghdad, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated near shops in Abu Ghraib, Al Anbar, Iraq. At least one person was killed and 10 people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/21/2016: Security forces identified and intercepted a suicide bomber targeting a hussainiya in Hayy al Wasiti, Kirkuk, Iraq. The assailant detonated prematurely, killing himself and injuring four people. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated as demining personnel attempted to defuse it in Ramadi, Al Anbar, Iraq. A British contractor was killed and at least one person was injured in the blast. The Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated near a cafe in Hurriya, Baghdad, Iraq. At least two people were killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: Assailants shot and killed a Green Zone police officer in Jihad neighborhood, Baghdad, Iraq. No group claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated targeting an Iraqi Volunteer Forces patrol in Nasr neighborhood, Baghdad, Iraq. At least two volunteer fighters were killed and two fighters were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated targeting a military patrol in Boaitha, Baghdad, Iraq. At least two soldiers were killed and three soldiers were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated near an auto showroom in Bayaa, Baghdad, Iraq. At least one person was killed and six people were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated targeting police forces in Khalidiyah, Al Anbar, Iraq. At least one police officer was killed and three officers were injured in the blast. No group claimed responsibility for the incident."
"Middle East & North Africa","08/22/2016: An explosive device detonated targeting families fleeing the area in Hawijah, Kirkuk, Iraq. At least six people were killed and five people were injured in the blast. No group claimed responsibility for the incident; however, sources attributed the attack to the Islamic State of Iraq and the Levant (ISIL)."
